Measuring points - characteristics


MANDT	 ZCOLNR	 ZVALUE	 ATNAM	 INDCT
X	 X	 X	 	
Client	 AM: Column number	 Position	 Characteristic Name	 Indicator to Show that Measuring Point Is a Counter
MANDT-CLNT(3)	 ZCHAR3-CHAR(3)	 ZCHAR3-CHAR(3)	 ATNAM-CHAR(30)	 X-CHAR(1)
100	 035	 496	 ZAM_TOWER_B_PRESS	
100	 035	 510	 ZAM_REGENOUTLTEMP	
100	 035	 551	 ZAM_BLOWER_PRESS	
100	 035	 552	 ZAM_TEMP_TOP_VESSEL_A	
100	 035	 553	 ZAM_TEMP_TOP_VESSEL_B	
100	 035	 554	 ZAM_ACTUAL_STATE_TIME	
100	 035	 555	 ZAM_PROG_STATE_TIME	
100	 035	 556	 ZAM_ACTUAL_HALF_CYCLE_TIME	
100	 035	 557	 ZAM_PROG_HALF_CYCLE_TIME	
100	 036	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 036	 015	 ZAM_RHRSTOTAL	 X
100	 036	 020	 ZAM_RHRSLOADED	
100	 036	 031	 ZAM_VSD_1-20_PERC_RPM	
100	 036	 032	 ZAM_VSD_20-40_PERC_RPM	
100	 036	 033	 ZAM_VSD_40-60_PERC_RPM	
100	 036	 034	 ZAM_VSD_60-80_PERC_RPM	
100	 036	 035	 ZAM_VSD_80-100_PERC_RPM	
100	 036	 040	 ZAM_WORKPRESS	
100	 036	 060	 ZAM_AMBTEMP	
100	 036	 100	 ZAM_OUTLTEMP_ELT1	
100	 036	 460	 ZAM_LAT	
100	 036	 660	 ZAM_SPMMOTDE	
100	 036	 670	 ZAM_SPMLMOTNDE	
100	 036	 680	 ZAM_SPMELTP1	
100	 036	 690	 ZAM_SPMELTP2	
100	 036	 720	 ZAM_SPMGEARBOX	
100	 036	 760	 ZAM_MOTOR_CURRENT_U1	
100	 036	 770	 ZAM_MOTOR_CURRENT_V1	
100	 036	 780	 ZAM_MOTOR_CURRENT_W1	
100	 036	 850	 ZAM_WATERSEPERATOR	
100	 036	 860	 ZAM_WATERINJECTPRESS	
100	 036	 870	 ZAM_WATERINJECTTEMP	
100	 036	 880	 ZAM_BLOCKINGAIR	
100	 037	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 037	 015	 ZAM_RHRSTOTAL	 X
100	 037	 024	 ZAM_MOTORSTART	
100	 037	 030	 ZAM_ACCVOL	
100	 037	 031	 ZAM_VSD_1-20_PERC_RPM	
100	 037	 032	 ZAM_VSD_20-40_PERC_RPM	
100	 037	 033	 ZAM_VSD_40-60_PERC_RPM	
