[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
V50R_SELECT_OPTION_ADD,N/A,24,16,8,33%,Direct Values
V50R_SELEKTIONS_PARAMETER_INT,N/A,253,208,45,18%,Direct Values
V50R_SEL_SCREEN,N/A,87,57,30,34%,Direct Values
V50R_START_OF_SELECTION,N/A,40,28,12,30%,Direct Values
V50R_SYNCHRONIZE_LIST_PROFIL,N/A,107,55,52,49%,Direct Values
V50R_SYNCHRONIZE_WBSTK_LFOP,N/A,52,33,19,37%,Direct Values
V50R_TM_CTRL_KEY_SEL_OPT_FILL,N/A,43,26,17,40%,Include V50R_TM_CTRL_KEY_SEL_OPT_FILL
V50R_USEREXITS,N/A,71,0,71,100%,Include V50R_TM_CTRL_KEY_SEL_OPT_FILL
V50R_USEREXIT_PREPARE,N/A,16,4,12,75%,Include V50R_TM_CTRL_KEY_SEL_OPT_FILL
V50R_USEREXIT_TRANSF,N/A,18,4,14,78%,Include V50R_TM_CTRL_KEY_SEL_OPT_FILL
YRD_V50RINCL,N/A,44,28,16,36%,Include V50R_TM_CTRL_KEY_SEL_OPT_FILL
YRD_V50RSEL3,N/A,142,53,89,63%,Include V50R_TM_CTRL_KEY_SEL_OPT_FILL
YRD_V50R_MAIN,N/A,133,108,25,19%,Include V50R_TM_CTRL_KEY_SEL_OPT_FILL
YRD_RVV50R10C,1010,181,145,36,20%,SEL_SCREEN 1010 INFO:170003100000000000000000000202340091291
YRD_RVV50R10C,1020,122,96,26,21%,SEL_SCREEN 1020 INFO:170003100000000000000000000202340091291
YRD_RVV50R10C,1030,71,54,17,24%,SEL_SCREEN 1030 INFO:170003100000000000000000000202340091291
YRD_RVV50R10C,1040,99,77,22,22%,SEL_SCREEN 1040 INFO:170003100000000000000000000202340091291
YRD_RVV50R10C,1050,43,30,13,30%,SEL_SCREEN 1050 INFO:170003100000000000000000000202340091291
YRD_RVV50R10C,1060,333,260,73,22%,SEL_SCREEN 1060 INFO:170003100000000000000000000202340091291
YRD_RVV50R10C,1070,"1,020",850,170,17%,SEL_SCREEN 1070 INFO:170003100000000000000000000202340091291
[Totle], ,"7,352","5,027","2,325",32%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_SD_DTC_AUTOMATION_02,N/A,32,3,29,91%,Automatic DTC - Outbound delivery and PGI
YRD_SD_DTC_AUTOMATION_02TOP,N/A,105,67,38,36%,Include YSE_SD_DTC_AUTOMATION_02TOP
YRD_SD_DTC_AUTOMATION_02_EV,N/A,441,215,226,51%,Include YSE_SD_DTC_AUTOMATION_02_EV
YRD_SD_DTC_AUTOMATION_02_F01,N/A,178,119,59,33%,Include YSE_SD_DTC_AUTOMATION_02_F01
YSE_SD_DTC_AUTOMATION_02_SEL,N/A,31,19,12,39%,Include YSE_SD_DTC_AUTOMATION_02_SEL
[Totle], ,787,423,364,46%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_SD_SFS_UPD,N/A,22,5,17,77%,RDC SFS UPDATE SO PRG
YRD_SD_SFS_UPD_EVENT,N/A,10,5,5,50%,Include YRD_SD_SFS_UPD_EVENT
YRD_SD_SFS_UPD_FORMS,N/A,182,126,56,31%,Include YRD_SD_SFS_UPD_FORMS
YRD_SD_SFS_UPD_GLDAT,N/A,23,15,8,35%,Include YRD_SD_SFS_UPD_GLDAT
[Totle], ,237,151,86,36%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_SD_SO_CONDITIONS,N/A,218,132,86,39%,SO Item Conditions Report
[Totle], ,218,132,86,39%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_SD_SO_HTEXT,N/A,137,65,72,53%,SO Header Text(SL04) Report
[Totle], ,137,65,72,53%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_SD_UPDATE_ZP,N/A,342,247,95,28%,Update RDC SO ZP
[Totle], ,342,247,95,28%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_STATUS_B100,N/A,21,5,16,76%,IDOC Order Creation in RDC message
YRD_STATUS_B100_EVENT,N/A,9,3,6,67%,Include YRD_STATUS_B100_EVENT
YRD_STATUS_B100_FORMS,N/A,116,81,35,30%,Include YRD_STATUS_B100_FORMS
YRD_STATUS_B100_GLDAT,N/A,14,7,7,50%,Include YRD_STATUS_B100_GLDAT
[Totle], ,160,96,64,40%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_TABLE_MT_YSE_ATP_CONFIG,N/A,156,99,57,37%,Include YRD_STATUS_B100_GLDAT
[Totle], ,156,99,57,37%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_TEST,N/A,114,23,91,80%,
[Totle], ,114,23,91,80%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_TEST1,N/A,171,97,74,43%,
[Totle], ,171,97,74,43%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_TEST2,N/A,1,1,0,0%,
[Totle], ,1,1,0,0%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_UPLOAD_PO,N/A,386,319,67,17%,Mass create sales order for Nanjing CC
[Totle], ,386,319,67,17%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_UPLOAD_SALESORDER,N/A,225,128,97,43%,Mass create sales order for Nanjing CC
[Totle], ,225,128,97,43%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_UPLOAD_SALESORDER_COPY,N/A,232,141,91,39%,Mass create sales order for Nanjing CC
[Totle], ,232,141,91,39%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YREPORT1,N/A,16,4,12,75%,Search equipment created in given period and plant.
YSE_FORM,N/A,322,114,208,65%,Include YSE_FORM
YSE_TOP,N/A,123,84,39,32%,Include YSE_TOP
[Totle], ,461,202,259,56%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YREPORT1_TEMP,N/A,17,7,10,59%,temp
[Totle], ,17,7,10,59%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YREPORT2,N/A,32,18,14,44%,info regarding operation / list of the equipment been change
[Totle], ,32,18,14,44%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRV13A954,N/A,"1,094",648,446,41%,Select Condition Records
YVAKEDATA,N/A,110,70,40,36%,Select Condition Records
[Totle], ,"1,204",718,486,40%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YSEVF02_AC_REL,N/A,204,124,80,39%,Mass change of billing date for release to accounting
[Totle], ,204,124,80,39%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YSE_2A_2OP_RECON,N/A,13,3,10,77%,Reconciliation report
YSE_2A_2OP_RECON_EV,N/A,48,11,37,77%,Include YSE_2A_2OP_RECON_EV
YSE_2A_2OP_RECON_F01,N/A,904,605,299,33%,Include YSE_2A_2OP_RECON_F01
YSE_2A_2OP_RECON_SEL,N/A,34,22,12,35%,Include YSE_2A_2OP_RECON_SEL
YSE_2A_2OP_RECON_TOP,N/A,133,102,31,23%,Include YSE_2A_2OP_RECON_TOP
[Totle], ,"1,132",743,389,34%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YSE_A954,N/A,43,28,15,35%,sample
[Totle], ,43,28,15,35%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YSE_ACC_IDOC_ORDER_LIST,N/A,"1,295",800,495,38%,"List, Delete & Reprocess IDOCs of ACC ORDERS"
YSE_ACC_IDOC_ORDER_LIST,100,5,4,1,20%,"List & Delete IDocs with status [51,68]"
[Totle], ,"1,300",804,496,38%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YSE_ACC_LOAD_SHIPTO,N/A,89,53,36,40%,Load ship-to's for an ACC customer
[Totle], ,89,53,36,40%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YSE_ACC_STATUS_INVOICE,N/A,279,161,118,42%,AC Connect : Send status '260' / '280' for (cancelled) invoi
[Totle], ,279,161,118,42%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YSE_ACC_UPLOAD_CUST,N/A,196,124,72,37%,Upload ACC customer data
[Totle], ,196,124,72,37%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YSE_ACTION_ROUTINES,N/A,"1,502",911,591,39%,AM: Common routines for ABAP programs
[Totle], ,"1,502",911,591,39%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YSE_ACTION_ROUTINES_NEW,N/A,"1,566",951,615,39%,AM: Common routines for ABAP programs
[Totle], ,"1,566",951,615,39%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YSE_ACTION_ROUTINES_NEW_TMP,N/A,"1,570",955,615,39%,AM: Common routines for ABAP programs
[Totle], ,"1,570",955,615,39%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YSE_ACTION_ROUTINES_TEST,N/A,"1,493",905,588,39%,AM: Common routines for ABAP programs
[Totle], ,"1,493",905,588,39%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YSE_ACT_CONTACT_ADDRESS_DISP,N/A,246,163,83,34%,Equipment Address extraction for ACT!
[Totle], ,246,163,83,34%, 
,,,,,,
,,,,,,
